"Freq [GHz]","sqrt(2)*sqrt(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))*(1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))) []"
2.6326225,11.7189292895977
2.64012,11.741798066933
2.6476175,11.7646054673119
2.655115,11.7873515907922
2.6626125,11.8100365379958
2.67011,11.8326604102226
2.6776075,11.8552233100718
2.685105,11.8777253386031
2.6926025,11.9001665999136
2.7001,11.9225471974217
2.7075975,11.9448672353886
2.715095,11.9671268185806
2.7225925,11.9893260523464
2.73009,12.0114650425406
2.7375875,12.0335438956238
2.745085,12.0555627185193
2.7525825,12.0775216187011
2.76008,12.0994207041423
2.7675775,12.1212600833831
2.775075,12.1430398653377
2.7825725,12.1647601595342
2.79007,12.1864210759317
2.7975675,12.2080227249445
2.805065,12.2295652175016
2.8125625,12.2510486649353
2.82006,12.2724731791111
2.8275575,12.293838872241
2.835055,12.31514585707
2.8425525,12.3363942467169
2.85005,12.3575841547294
2.8575475,12.378715695106
2.865045,12.3997889822294
2.8725425,12.4208041308911
2.88004,12.4417612562903
2.8875375,12.4626604739978
2.895035,12.4835019000206
2.9025325,12.5042856506627
2.91003,12.5250118426511
2.9175275,12.5456805931062
2.925025,12.5662920194802
2.9325225,12.5868462394993
2.94002,12.6073433713972
2.9475175,12.6277835336392
2.955015,12.6481668450372
2.9625125,12.6684934247682
