# Frequency (GHz),Output Power (W)
1.837887499999999896e+00,3.403902201139243463e-05
1.845385000000000053e+00,3.427885741611111912e-05
1.852882499999999988e+00,3.451914218546579994e-05
1.860379999999999923e+00,3.475987184422905783e-05
1.867877500000000079e+00,3.500104192614464339e-05
1.875375000000000014e+00,3.524264797403464373e-05
1.882872499999999949e+00,3.548468553989854468e-05
1.890370000000000106e+00,3.572715018501969260e-05
1.897867500000000041e+00,3.597003748006208661e-05
1.905364999999999975e+00,3.621334300517048426e-05
1.912862499999999910e+00,3.645706235007460698e-05
1.920360000000000067e+00,3.670119111418233398e-05
1.927857500000000002e+00,3.694572490667727367e-05
1.935354999999999936e+00,3.719065934662151897e-05
1.942852500000000093e+00,3.743599006304411137e-05
1.950350000000000028e+00,3.768171269504112640e-05
1.957847499999999963e+00,3.792782289186944351e-05
1.965344999999999898e+00,3.817431631304168157e-05
1.972842500000000054e+00,3.842118862841551678e-05
1.980339999999999989e+00,3.866843551829173518e-05
1.987837499999999924e+00,3.891605267350487201e-05
1.995335000000000081e+00,3.916403579551125565e-05
2.002832499999999794e+00,3.941238059648664003e-05
2.010330000000000172e+00,3.966108279941035232e-05
2.017827500000000107e+00,3.991013813816058747e-05
2.025325000000000042e+00,4.015954235759889467e-05
2.032822499999999977e+00,4.040929121366649521e-05
2.040319999999999911e+00,4.065938047346515034e-05
2.047817499999999846e+00,4.090980591535217133e-05
2.055314999999999781e+00,4.116056332902461447e-05
