Freq [GHz],barium-dipole | output_power [],"barium-loop | mag(S(waveport1:1,antenna))**2 []",ferrite-dipole | output_power [],"ferrite-loop | mag(S(waveport1:1,antenna))**2 []",silver-dipole | output_power [],"silver-loop | mag(S(waveport1:1,antenna))**2 []"
0.8291272268907564,9.632457751078948e-06,1.0432078158959332e-05,1.7361967720641057e-06,2.3194633055654857e-06,4.68460882119133e-09,2.843560488724428e-13
0.8365617226890757,9.800201715348337e-06,1.061618375002304e-05,1.7663375336930987e-06,2.3601602615207876e-06,4.768518390603443e-09,2.840105102965251e-13
0.843996218487395,9.969283370231736e-06,1.0801806645597894e-05,1.796715061068366e-06,2.401185336346827e-06,4.853203729080479e-09,2.8366116211703617e-13
0.8514307142857144,1.0139699265599125e-05,1.0988944028804634e-05,1.8273289007661731e-06,2.442537728924936e-06,4.9386657710856186e-09,2.8330816896774634e-13
0.8588652100840337,1.0311445912599929e-05,1.1177593080182143e-05,1.8581786016727983e-06,2.484216635926791e-06,5.024905427218487e-09,2.8295168778029405e-13
0.866299705882353,1.048452022318315e-05,1.1367750978169102e-05,1.889263668573157e-06,2.526221251964364e-06,5.111923612636652e-09,2.825918681802497e-13
0.8737342016806724,1.0658920183225702e-05,1.1559414899584772e-05,1.9205834880841672e-06,2.5685507697409216e-06,5.199721254710502e-09,2.8222885286190547e-13
0.8811686974789916,1.0834643956588403e-05,1.1752582020110108e-05,1.9521374272385616e-06,2.6112043802029786e-06,5.28829928283448e-09,2.8186277794294596e-13
0.888603193277311,1.1011689693123618e-05,1.1947249514768096e-05,1.983924863392107e-06,2.6541812726929002e-06,5.377658877156695e-09,2.8149377330008376e-13
0.8960376890756303,1.1190055419019254e-05,1.2143414558403307e-05,2.0159452650306637e-06,2.6974806351020596e-06,5.4678034314393375e-09,2.811219628866989e-13
0.9034721848739496,1.1369739096044431e-05,1.2341074326161368e-05,2.0481981481112038e-06,2.7411016540243905e-06,5.55873749255116e-09,2.807474650334626e-13
0.910906680672269,1.1550738679703693e-05,1.2540225993967535e-05,2.0806830289621618e-06,2.785043514910035e-06,5.650465566155445e-09,2.8037039273286943e-13
0.9183411764705883,1.1733051832682414e-05,1.2740866739004217e-05,2.1133994219869326e-06,2.8293054022190343e-06,5.7429895351510026e-09,2.799908539085609e-13
0.9257756722689077,1.1916675790304619e-05,1.294299374018805e-05,2.1463468387793702e-06,2.873886499574931e-06,5.836307454585243e-09,2.796089516702594e-13
0.933210168067227,1.2101607754064732e-05,1.3146604178645696e-05,2.179524790710927e-06,2.918785989917974e-06,5.930417076495752e-09,2.792247845551148e-13
0.9406446638655463,1.2287845078672333e-05,1.335169523818846e-05,2.212932789885498e-06,2.964003055657829e-06,6.025317188538188e-09,2.7883844675618953e-13
0.9480791596638656,1.2475385797347705e-05,1.3558264105786231e-05,2.246570351650578e-06,3.0095368788258e-06,6.121011164584924e-09,2.784500283387947e-13
0.9555136554621849,1.2664228131072168e-05,1.376630797203985e-05,2.2804369922512543e-06,3.0553866412261694e-06,6.217503647630201e-09,2.780596154453398e-13
0.9629481512605043,1.2854370300050107e-05,1.3975824031652264e-05,2.3145322230102213e-06,3.10155152458664e-06,6.314799154388017e-09,2.776672904893183e-13
